globus.tut.by,2 800 000,49,360,10,,,929 -18%,858 -16%,986 -17%
expert.ru,750 000,60,11600,10,,,2 858 +151%,2 858 +179%,2 858 +139%
rusvesna.su,460 000,63,18600,10,,,4 715 +314%,-,5 429 +355%
business-gazeta.ru,270 000,55,12900,10,,,1 315 +15%,1 315 +28%,1 315 +10%
konkurent.ru,250 000,43,3740,10,,,2 529 +122%,2 529 +147%,2 529 +112%
0629.com.ua,130 000,47,6050,10,,,3 285 +188%,3 285 +221%,4 928 +313%
gorobzor.ru,110 000,47,2970,10,,,1 029 -10%,1 029 0%,1 029 -14%
bnkomi.ru,97 000,50,7650,10,,,1 308 +15%,1 308 +28%,1 308 +9%
kulturologia.ru,71 000,50,7900,10,,,7 143 +527%,7 143 +597%,7 858 +558%
komiinform.ru,70 000,50,5250,10,,,1 058 -7%,1 058 +3%,1 079 -10%
sq.com.ua,68 000,47,2560,10,,,743 -35%,743 -28%,743 -38%
66.ru,66 000,48,8650,10,,,1 143 0%,1 143 +12%,1 143 -4%
kurer-sreda.ru,64 000,49,5400,10,,,1 558 +37%,1 558 +52%,1 558 +30%
versia.ru,64 000,48,5650,10,,,1 572 +38%,2 286 +123%,6 429 +438%
bigpicture.ru,57 000,56,6900,10,,,4 286 +276%,4 286 +318%,5 000 +319%
fedpress.ru,56 000,58,3350,10,,,2 143 +88%,-,-
km.ru,56 000,60,9000,10,,,4 436 +290%,4 438 +333%,4 439 +272%
061.ua,55 000,45,1990,10,,,4 285 +276%,4 285 +318%,6 428 +438%
novate.ru,48 000,49,10000,10,,,7 143 +527%,6 858 +569%,8 000 +570%
telegraf.by,43 000,53,2810,10,,,1 215 +7%,1 215 +19%,1 215 +2%
kp40.ru,42 000,42,4990,10,,,1 672 +47%,1 672 +63%,1 686 +41%
tv2.today New!,41 000,41,3700,10,,,-,-,8 075 +1326%
057.ua,39 000,47,1930,10,,,4 285 +276%,4 285 +318%,6 428 +438%
infpol.ru,38 000,46,5350,10,,,1 379 +21%,1 379 +35%,1 379 +15%
zavtra.ru,36 000,45,6750,10,,,3 429 +201%,3 429 +235%,3 429 +187%
versii.com,29 000,58,3270,10,,,-,-,6 086 +410%
goloskarpat.info,28 000,42,980,10,,,829 -27%,829 -19%,858 -28%
bobr.by,28 000,41,3180,10,,,858 -25%,858 -16%,858 -28%
vikna.if.ua,26 000,41,570,10,,,772 -32%,772 -25%,915 -23%
uzinform.com.ua,25 000,39,30,10,,,572 +11%,572 +21%,572 +1%
belcanto.ru,25 000,47,1230,10,,,1 429 +25%,1 429 +39%,-
kaztag.kz New!,24 000,46,800,10,,,943 -17%,815 -21%,943 -21%
lifedon.com.ua,23 000,42,5300,10,,,743 -35%,743 -28%,1 329 +11%
newsvo.ru,23 000,46,3480,10,,,315 -72%,315 -69%,343 -71%
uralskweek.kz,23 000,45,2530,10,,,786 -31%,715 -30%,858 -28%
chelseablues.ru,23 000,43,3220,10,,,1 119 -2%,972 -5%,1 119 -6%
worldtranslation.org,22 000,41,70,10,,,715 -37%,715 -30%,715 -40%
wek.ru,22 000,49,6700,10,,,1 715 +51%,2 429 +137%,6 429 +438%
06239.com.ua,22 000,39,2070,10,,,1 062 +106%,1 062 +125%,1 593 +181%
0564.ua,20 000,46,1700,10,,,4 285 +276%,4 285 +318%,6 428 +438%
3652.ru,20 000,47,3050,10,,,1 868 +64%,1 868 +82%,2 800 +135%
netall.ru,20 000,40,3540,10,,,8 143 +615%,-,8 143 +582%
rusplt.ru,20 000,50,7800,10,,,2 143 +88%,4 286 +318%,-
048.ua,20 000,49,1980,10,,,4 285 +276%,4 285 +318%,6 428 +438%
vremyan.ru,19 000,49,2230,10,,,3 572 +214%,-,3 572 +199%
gorod.cn.ua,18 000,41,2290,10,,,1 000 -12%,1 000 -2%,1 143 -4%
render.ru,18 000,46,2430,10,,,929 -18%,929 -9%,929 -22%
e-xecutive.ru,18 000,56,1890,10,,,5 715 +402%,5 715 +458%,5 715 +379%
c-inform.info,18 000,57,5500,10,,,1 908 +68%,2 050 +100%,2 673 +124%
gorno-altaisk.info,17 000,42,4400,10,,,1 286 +13%,1 286 +25%,1 286 +8%
kv.by,16 000,48,1360,10,,,858 -25%,858 -16%,858 -28%
zhzh.info,16 000,49,1810,10,,,986 -13%,986 -4%,1 129 -5%
niann.ru,15 000,56,2000,10,,,2 000 +76%,2 000 +95%,2 000 +68%
computerra.ru,14 000,56,3150,10,,,-,-,11 429 +857%
penza-press.ru,14 000,50,1750,10,,,386 -66%,386 -62%,400 -66%
volga.news,14 000,56,2870,10,,,758 -33%,758 -26%,758 -37%
gorodkirov.ru,13 000,42,2130,10,,,976 -14%,966 -6%,989 -17%
panram.ru,13 000,45,1060,10,,,-,-,1 072 -10%
vesti42.ru,13 000,40,2420,10,,,743 -35%,786 -23%,786 -34%
lawmix.ru,13 000,48,1380,10,,,7 715 +578%,-,-
megabook.ru,13 000,42,1120,9,,,2 072 +82%,2 100 +105%,2 715 +127%
booksmed.com,12 000,44,740,10,,,1 572 +38%,1 572 +53%,1 572 +32%
mv.org.ua,12 000,44,1340,10,,,1 715 +51%,1 715 +67%,1 715 +44%
62.ua,12 000,48,2770,10,,,2 856 +151%,2 856 +179%,4 285 +259%
kvnews.ru,12 000,42,1600,10,,,3 643 +220%,3 643 +256%,3 643 +205%
domenolog.ru,11 000,48,870,10,,,1 286 +13%,1 072 +5%,1 286 +8%
obzor.city New!,11 000,56,1520,10,,,1 529 +34%,1 529 +49%,1 529 +28%
md-eksperiment.org,11 000,45,510,10,,,900 -21%,900 -12%,986 -17%
056.ua,10 000,45,1370,10,,,3 629 +219%,3 629 +254%,5 443 +356%
footballtransfer.com.ua,10 000,44,630,10,,,1 008 -12%,1 293 +26%,1 643 +38%
anti-malware.ru,9 900,52,820,10,,,1 143 0%,1 286 +25%,2 572 +115%
belarushockey.com,9 800,40,1680,10,,,1 429 +25%,1 429 +39%,2 143 +79%
hrono.ru,9 600,53,1120,10,,,1 858 +63%,1 572 +53%,2 143 +79%
susanin.news New!,9 200,58,2910,10,,,-,-,11 428 +857%
niknews.mk.ua,9 100,45,630,10,,,1 000 -12%,1 000 -2%,1 072 -10%
omskpress.ru,8 900,46,1480,10,,,1 715 +51%,1 715 +67%,2 143 +79%
mixednews.ru,8 500,50,2720,10,,,1 772 +56%,1 772 +73%,1 772 +48%
epochtimes.com.ua,8 300,52,480,10,,,1 208 +6%,1 208 +18%,1 222 +2%
gazetki.by,8 200,38,970,10,,,1 429 +177%,1 429 +203%,1 715 +203%
vb.by,7 600,44,1940,10,,,1 315 +15%,1 315 +28%,1 315 +10%
kafanews.com,7 500,43,3280,10,,,1 429 +25%,-,1 858 +56%
sovsekretno.ru,7 400,49,2340,10,,,1 286 +13%,1 286 +25%,1 286 +8%
sciencedebate2008.com,7 200,54,360,10,,,1 000 -12%,858 -16%,1 000 -16%
vmnews.ru,6 800,45,1050,10,,,765 -33%,486 -53%,793 -34%
svadba.net.ru New!,6 800,42,370,10,,,-,-,7 142 +498%
44.ua,6 700,49,790,10,,,4 285 +276%,4 285 +318%,6 428 +438%
0342.ua,6 600,40,220,10,,,938 -18%,938 -9%,1 406 +18%
trv-science.ru,6 500,49,830,10,,,929 -18%,929 -9%,1 000 -16%
ereport.ru,6 500,40,700,10,,,1 736 +52%,1 736 +69%,1 736 +45%
worldcrisis.ru,6 500,42,3280,10,,,1 286 +13%,1 286 +25%,1 286 +8%
bylkov.ru,6 400,41,1370,10,,,1 072 -6%,1 072 +5%,1 429 +20%
0512.com.ua,6 400,41,850,10,,,938 +82%,938 +99%,1 406 +148%
vedu.ru,6 400,40,390,10,,,2 043 +79%,1 115 +9%,2 300 +93%
gaw.ru,6 300,46,650,10,,,1 072 -6%,1 072 +5%,1 072 -10%
shepetivka.com.ua,6 200,41,310,10,,,1 286 +13%,1 143 +12%,2 286 +91%
trustorg.com,5 800,49,1360,10,,,2 143 +88%,2 572 +151%,5 715 +379%
novostivl.ru,5 800,41,1580,10,,,1 143 0%,-,2 143 +79%
ej.by,5 600,52,1740,10,,,3 786 +233%,3 786 +269%,3 786 +217%
xozyaika.com,5 600,61,150,10,,,929 -18%,929 -9%,1 072 -10%
ozpp.ru,5 500,48,1150,10,,,1 215 +7%,1 215 +19%,1 215 +2%
smartphone.ua,5 500,48,470,10,,,2 300 +102%,1 700 +66%,2 322 +94%
primpress.ru,800 000,33,2700,10,,,3 100 +547%,3 100 +620%,3 100 +429%
belnovosti.by,290 000,31,7700,10,,,-,-,4 138 +631%
kam.business-gazeta.ru,270 000,33,12900,10,,,1 215 +135%,1 215 +158%,1 215 +115%
sport.business-gazeta.ru,270 000,39,12700,10,,,986 +91%,986 +109%,986 +74%
coronavirus-monitor.ru New!,250 000,33,21300,10,,,-,3 350 +612%,8 000 +1313%
ua.kompass.com,180 000,31,450,10,,,1 826 +254%,2 536 +439%,4 058 +617%
sport.ru,100 000,39,5300,10,,,4 143 +703%,4 143 +780%,-
tayga.info,97 000,38,5550,10,,,1 315 +155%,1 315 +179%,1 315 +132%
protocol.ua,96 000,39,710,10,,,1 408 +173%,1 408 +199%,1 429 +152%
intex-press.by,81 000,36,5350,10,,,929 +80%,929 +97%,929 +64%
1istochnik.ru,55 000,36,2210,10,,,1 429 +177%,1 429 +203%,2 143 +279%
cookbook.rin.ru New!,48 000,33,1780,10,,,1 286 +149%,-,1 286 +127%
archive.rin.ru New!,48 000,36,1800,10,,,1 143 +122%,-,1 143 +102%
tests.rin.ru New!,39 000,32,1800,10,,,1 286 +149%,-,1 286 +127%
rubaltic.ru,38 000,38,4730,10,,,2 858 +454%,3 572 +659%,4 286 +657%
go31.ru,37 000,37,2240,10,,,1 562 +203%,1 562 +232%,2 342 +314%
donnews.ru,35 000,35,4970,10,,,-,458 +6%,1 286 +119%
bragazeta.ru,34 000,37,4550,10,,,1 022 +98%,1 022 +117%,1 022 +80%
7x7-journal.ru,24 000,33,4070,10,,,643 +34%,572 +33%,1 715 +193%
turkeyforfriends.com,23 000,36,1240,10,,,-,-,999 +76%
31tv.ru,22 000,34,3660,10,,,1 236 +140%,1 236 +163%,1 236 +118%
autosaratov.ru,20 000,38,2660,10,,,6 429 +1147%,6 429 +1266%,12 858 +2171%
artlife.rv.ua,19 000,32,20,10,,,572 +11%,572 +21%,572 +1%
kineshemec.ru,18 000,38,3270,10,,,715 +39%,715 +52%,929 +64%
findpatent.ru,18 000,38,1680,10,,,7 208 +1298%,7 259 +1442%,15 000 +2550%
hrliga.com,16 000,39,430,10,,,-,858 +82%,-
zhzh.com.ua,14 000,36,200,10,,,700 +36%,700 +49%,843 +49%
kremlinrus.ru,14 000,41,1160,10,,,678 +31%,648 +37%,742 +31%
afisha.gorodkirov.ru,13 000,33,2130,10,,,567 +10%,546 +16%,657 +16%
kurskcity.ru,13 000,30,1370,10,,,2 786 +440%,2 786 +492%,2 786 +392%
1743.ru,12 000,35,1470,10,,,2 000 +288%,2 000 +325%,2 000 +253%
consmed.ru,12 000,43,1500,10,,,4 286 +731%,4 286 +810%,5 000 +783%
volzsky.ru,12 000,37,3850,10,,,999 +94%,999 +112%,999 +76%
f1comp.ru,12 000,39,840,10,,,5 715 +1008%,4 429 +841%,7 143 +1162%
0462.ua,11 000,38,540,10,,,1 058 +105%,1 058 +125%,1 586 +180%
rostovmama.ru,11 000,37,1280,10,,,1 143 +122%,1 143 +143%,1 429 +152%
best-stroy.ru New!,11 000,35,2060,10,,,-,-,7 142 +1162%
0532.ua,11 000,38,420,10,,,938 +82%,938 +99%,1 406 +148%
lokomotiv.info,10 000,36,1970,10,,,4 929 +856%,4 215 +795%,5 715 +909%
skr.su,10 000,39,1210,10,,,1 715 +232%,1 715 +264%,1 715 +203%
zvezda-fc.ru,10 000,32,1500,10,,,572 +11%,572 +21%,572 +1%
trc33.ru,9 900,36,1160,10,,,1 036 +101%,1 036 +120%,1 036 +83%
tkgorod.ru,9 700,38,1810,10,,,815 +58%,786 +67%,-
0542.ua,9 500,40,1420,10,,,746 +45%,746 +58%,1 119 +98%
06274.com.ua,9 500,35,1450,10,,,1 008 +95%,1 008 +114%,1 512 +167%
plitki.com,9 300,42,20,10,,,493 -4%,500 +6%,500 -12%
ntsk.ru,9 200,34,3720,10,,,2 000 +288%,2 000 +325%,2 000 +253%
prykoly.ru,8 800,37,740,10,,,458 -11%,458 -3%,500 -12%
kikonline.ru,8 700,39,940,10,,,1 429 +177%,1 429 +203%,1 429 +152%
ecologyinfo.ru,8 000,33,20,10,,,499 -3%,499 +6%,599 +6%
6264.com.ua,7 900,35,1120,10,,,1 062 +106%,1 062 +125%,1 593 +181%
moi-goda.ru,7 800,36,2130,10,,,729 +41%,700 +49%,872 +54%
swsu.ru,7 700,37,1710,10,,,858 +66%,929 +97%,-
catalog.gaw.ru,7 700,38,650,10,,,715 +39%,715 +52%,715 +26%
0552.ua,7 700,39,400,10,,,1 155 +124%,1 155 +145%,1 732 +206%
instukzia.com,7 500,44,10,10,,,500 -3%,500 +6%,500 -12%
stroibloger.com,7 500,44,50,10,,,715 +39%,715 +52%,715 +26%
parnasse.ru,7 300,32,1750,10,,,286 -45%,286 -39%,572 +1%
tocrypto.ru,7 100,41,150,10,,,500 -3%,500 +6%,572 +1%
homeprorab.info,7 000,44,40,10,,,493 -4%,493 +5%,493 -13%
aqwam.ru,7 000,38,N/A,10,,,449 -13%,449 -5%,549 -3%
good-goods31.ru,7 000,35,N/A,10,,,549 +6%,549 +17%,599 +6%
niasam.ru,6 600,38,1670,10,,,1 150 +123%,615 +30%,1 158 +104%
region29.ru,6 600,35,1450,10,,,-,-,7 143 +1162%
euroecodom.ru,6 500,38,20,9,,,279 -46%,279 -41%,279 -51%
livelive.ru,6 300,42,60,10,,,443 -14%,443 -6%,515 -9%
baurum.ru,6 200,34,420,10,,,2 143 +316%,2 429 +416%,2 858 +405%
manni.ru,6 100,41,10,10,,,350 -32%,350 -26%,350 -38%
mirlady.org,6 000,41,120,10,,,543 +5%,543 +15%,600 +6%
innov.ru,6 000,41,2230,10,,,715 +39%,-,829 +46%
kaksdelatgarazh.ru,6 000,41,40,10,,,529 +3%,529 +12%,572 +1%
vinbazar.com,6 000,39,660,10,,,858 +66%,858 +82%,858 +51%
slovnik.rusgor.ru,5 900,36,20,8,,,449 -13%,449 -5%,549 -3%
ladyadvice.ru,5 900,41,60,10,,,443 -14%,443 -6%,515 -9%
restodre.ru,5 900,32,10,10,,,499 -3%,499 +6%,599 +6%
sovross.ru,5 800,37,2170,10,,,886 +72%,886 +88%,936 +65%
forum.good-cook.ru,5 700,37,880,10,,,-,-,1 572 +178%
orensau.ru,5 600,37,1290,10,,,729 +41%,729 +55%,729 +29%
krepezh.net,5 600,42,10,9,,,350 -32%,350 -26%,350 -38%
ura-inform.com,5 500,34,1870,10,,,4 186 +712%,4 186 +789%,4 186 +639%
everbestnews.com,5 500,42,N/A,10,,,358 -31%,358 -24%,358 -37%
i38.ru,5 400,38,1260,10,,,958 +86%,943 +100%,1 115 +97%
pitomec.ru New!,5 300,38,520,10,,,-,-,7 142 +1162%
privetsochi.ru,5 200,33,2400,10,,,-,-,4 286 +632%
ikirov.ru,4 900,43,710,10,,,1 315 +155%,1 315 +179%,1 329 +135%
safezone.cc,4 900,33,420,10,,,-,-,872 +54%
k-ur.ru,4 900,35,1460,10,,,1 000 +94%,1 000 +112%,1 000 +77%
mega-domiki.ru,4 900,43,N/A,10,,,336 -35%,336 -29%,336 -41%
earth-chronicles.ru,4 900,48,2660,10,,,1 000 +94%,1 000 +112%,1 000 +77%
umnaya-dacha.ru,4 900,36,10,10,,,293 -43%,293 -38%,300 -47%
perekop.info,4 800,52,110,10,,,572 +11%,-,572 +1%
sdelaipotolok.ru,4 800,40,530,10,,,572 +11%,572 +21%,643 +14%
rznrap.ru,4 700,41,N/A,9,,,549 +6%,549 +17%,649 +15%
gorlovka.ua,4 700,42,1850,10,,,1 286 +149%,1 000 +112%,2 143 +279%
vkirove.ru,4 700,30,660,10,,,779 +51%,-,850 +50%
being-woman.ru,4 700,42,30,10,,,429 -17%,429 -9%,500 -12%
roadnice.ru,4 700,42,70,10,,,500 -3%,500 +6%,572 +1%
ntdtv.ru,4 700,45,2780,10,,,929 +80%,858 +82%,958 +69%
it-woomen.ru,4 600,42,90,10,,,429 -17%,429 -9%,500 -12%
gorlovka-pravda.com New!,4 500,32,2050,10,,,3 572 +593%,3 429 +628%,4 286 +657%
0642.ua,4 400,46,1800,10,,,938 +82%,938 +99%,1 406 +148%
